"","MeanDecreaseAccuracy","MeanDecreaseGini"
"geo_level_1_id",0.143308223528655,18102.3996325003
"geo_level_2_id",0.0667651849660538,15734.5704985124
"geo_level_3_id",0.0345903623009736,17546.5788721962
"has_superstructure_mud_mortar_stone",0.0303811896967268,2001.2086692574
"height_percentage",0.0292725087461876,6514.94080454226
"other_floor_type",0.0246925491105627,2380.03912491398
"count_floors_pre_eq",0.0245959190262925,2151.19518409949
"foundation_type",0.0226959199244976,3944.9021549464
"area_percentage",0.0209647656147581,12212.6809823505
"has_superstructure_timber",0.0186345793616728,1391.75443328846
"roof_type",0.0164386220273587,2512.10230419629
"age",0.0155680515291387,12763.7658559471
"ground_floor_type",0.0147247108458001,2814.51853364467
"has_superstructure_cement_mortar_brick",0.00664638543412022,875.933347060916
"position",0.00644854584353704,2553.00694609439
"land_surface_condition",0.00586779040130637,2400.09088870309
"has_superstructure_bamboo",0.00529211470434923,835.491025645121
"has_superstructure_adobe_mud",0.0052834760272408,878.802426429489
"has_superstructure_mud_mortar_brick",0.00430279499384997,720.986454141334
"has_superstructure_stone_flag",0.0035619668319887,636.620822896852
"has_secondary_use",0.00350681986366924,1049.09430585605
"has_superstructure_rc_non_engineered",0.00191164322933375,501.347879621463
"has_secondary_use_agriculture",0.00187416137918872,713.854163099684
"count_families",0.00179857122301285,3034.21024473246
"legal_ownership_status",0.00145892467401616,934.046733792741
"plan_configuration",0.00107006613309532,1168.2722260094
"has_superstructure_rc_engineered",0.000863467555982213,197.928060536412
"has_superstructure_other",0.000693408222256322,410.226852643713
"has_superstructure_cement_mortar_stone",0.000508602886910213,373.719326115321
"has_secondary_use_hotel",0.000394788155048192,455.750898399887
"has_secondary_use_other",0.000190841825886661,136.768590196114
"has_secondary_use_rental",2.80360605143431e-05,163.159467825888
"has_secondary_use_use_police",2.32011395702415e-07,3.82880625847299
"has_secondary_use_health_post",1.15935836568376e-07,5.84650164005673
"has_secondary_use_gov_office",-3.79880554759968e-10,3.68440014516596
"has_secondary_use_school",-1.62368799161253e-06,10.0997992908646
"has_secondary_use_industry",-1.85046784904053e-06,39.8497797855903
"has_secondary_use_institution",-4.051288848026e-06,25.9592552783599
